Assuming 9 as type relation
Loading files... 
  Starting train_nations.tsv
  Finished train_nations.tsv, still running: 0
Loaded 1592 facts in 46 ms using -3 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 4 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?b  reltreaties  ?a   => ?a  embassy  ?b	0.24	0.631578947	0.631578947	24	38	38	-1
?b  blockpositionindex  ?a   => ?a  embassy  ?b	0.27	0.574468085	0.574468085	27	47	47	-1
?b  unweightedunvote  ?a   => ?a  embassy  ?b	0.2	0.526315789	0.526315789	20	38	38	-1
?b  commonbloc2  ?a   => ?a  embassy  ?b	0.24	0.533333333	0.533333333	24	45	45	-1
?b  negativebehavior  ?a   => ?a  embassy  ?b	0.19	0.655172414	0.655172414	19	29	29	-1
?b  relexports  ?a   => ?a  embassy  ?b	0.19	0.59375	0.59375	19	32	32	-1
?b  exports3  ?a   => ?a  embassy  ?b	0.19	0.678571429	0.678571429	19	28	28	-1
?b  relbooktranslations  ?a   => ?a  embassy  ?b	0.19	0.863636364	0.863636364	19	22	22	-1
?b  officialvisits  ?a   => ?a  embassy  ?b	0.18	0.782608696	0.782608696	18	23	23	-1
?b  accusation  ?a   => ?a  embassy  ?b	0.13	0.684210526	0.684210526	13	19	19	-1
?b  commonbloc0  ?a   => ?a  embassy  ?b	0.13	0.481481481	0.481481481	13	27	27	-1
?b  booktranslations  ?a   => ?a  embassy  ?b	0.18	0.692307692	0.692307692	18	26	26	-1
?b  tourism  ?a   => ?a  embassy  ?b	0.12	0.571428571	0.571428571	12	21	21	-1
?b  timesincewar  ?a   => ?a  embassy  ?b	0.1	0.555555556	0.555555556	10	18	18	-1
?b  militaryalliance  ?a   => ?a  embassy  ?b	0.11	0.6875	0.6875	11	16	16	-1
?b  pprotests  ?a   => ?a  embassy  ?b	0.11	0.647058824	0.647058824	11	17	17	-1
?b  negativecomm  ?a   => ?a  embassy  ?b	0.1	0.714285714	0.714285714	10	14	14	-1
?b  releconomicaid  ?a   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?b  reltourism  ?a   => ?a  embassy  ?b	0.09	0.529411765	0.529411765	9	17	17	-1
?b  tourism3  ?a   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  economicaid  ?a   => ?a  embassy  ?b	0.09	0.9	0.9	9	10	10	-1
?b  relstudents  ?a   => ?a  embassy  ?b	0.09	0.818181818	0.818181818	9	11	11	-1
?b  students  ?a   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?b  boycottembargo  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  nonviolentbehavior  ?a   => ?a  embassy  ?b	0.06	0.428571429	0.428571429	6	14	14	-1
?b  relexportbooks  ?a   => ?a  embassy  ?b	0.06	0.5	0.5	6	12	12	-1
?b  expeldiplomats  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  exportbooks  ?a   => ?a  embassy  ?b	0.05	0.416666667	0.416666667	5	12	12	-1
?b  emigrants3  ?a   => ?a  embassy  ?b	0.04	0.571428571	0.571428571	4	7	7	-1
?b  dependent  ?a   => ?a  embassy  ?b	0.04	0.8	0.8	4	5	5	-1
?b  eemigrants  ?a   => ?a  embassy  ?b	0.05	0.555555556	0.555555556	5	9	9	-1
?b  relemigrants  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  unoffialacts  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  violentactions  ?a   => ?a  embassy  ?b	0.02	0.333333333	0.333333333	2	6	6	-1
?b  duration  ?a   => ?a  embassy  ?b	0.02	0.285714286	0.285714286	2	7	7	-1
?b  warning  ?a   => ?a  embassy  ?b	0.01	0.333333333	0.333333333	1	3	3	-1
?b  attackembassy  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  aidenemy  ?a   => ?a  embassy  ?b	0.01	0.5	0.5	1	2	2	-1
?b  severdiplomatic  ?a   => ?a  embassy  ?b	0.01	0.5	0.5	1	2	2	-1
?b  militaryactions  ?a   => ?a  embassy  ?b	0.01	0.166666667	0.166666667	1	6	6	-1
?a  commonbloc1  ?b   => ?a  embassy  ?b	0.49	0.6125	0.6125	49	80	80	-1
?a  reldiplomacy  ?b   => ?a  embassy  ?b	0.47	0.712121212	0.712121212	47	66	66	-1
?a  intergovorgs3  ?b   => ?a  embassy  ?b	0.46	0.638888889	0.638888889	46	72	72	-1
?a  relngo  ?b   => ?a  embassy  ?b	0.45	0.576923077	0.576923077	45	78	78	-1
?a  intergovorgs  ?b   => ?a  embassy  ?b	0.44	0.656716418	0.656716418	44	67	67	-1
?a  timesinceally  ?b   => ?a  embassy  ?b	0.44	0.628571429	0.628571429	44	70	70	-1
?a  ngoorgs3  ?b   => ?a  embassy  ?b	0.39	0.582089552	0.582089552	39	67	67	-1
?a  relintergovorgs  ?b   => ?a  embassy  ?b	0.39	0.527027027	0.527027027	39	74	74	-1
?a  independence  ?b   => ?a  embassy  ?b	0.38	0.59375	0.59375	38	64	64	-1
?a  weightedunvote  ?b   => ?a  embassy  ?b	0.36	0.692307692	0.692307692	36	52	52	-1
?a  ngo  ?b   => ?a  embassy  ?b	0.34	0.586206897	0.586206897	34	58	58	-1
?a  conferences  ?b   => ?a  embassy  ?b	0.33	0.568965517	0.568965517	33	58	58	-1
?a  blockpositionindex  ?b   => ?a  embassy  ?b	0.25	0.531914894	0.531914894	25	47	47	-1
?a  treaties  ?b   => ?a  embassy  ?b	0.25	0.568181818	0.568181818	25	44	44	-1
?a  commonbloc2  ?b   => ?a  embassy  ?b	0.23	0.511111111	0.511111111	23	45	45	-1
?a  reltreaties  ?b   => ?a  embassy  ?b	0.22	0.578947368	0.578947368	22	38	38	-1
?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.21	0.552631579	0.552631579	21	38	38	-1
?a  relexports  ?b   => ?a  embassy  ?b	0.2	0.625	0.625	20	32	32	-1
?a  negativebehavior  ?b   => ?a  embassy  ?b	0.19	0.655172414	0.655172414	19	29	29	-1
?a  exports3  ?b   => ?a  embassy  ?b	0.18	0.642857143	0.642857143	18	28	28	-1
?a  tourism  ?b   => ?a  embassy  ?b	0.17	0.80952381	0.80952381	17	21	21	-1
?a  officialvisits  ?b   => ?a  embassy  ?b	0.16	0.695652174	0.695652174	16	23	23	-1
?a  booktranslations  ?b   => ?a  embassy  ?b	0.15	0.576923077	0.576923077	15	26	26	-1
?a  reltourism  ?b   => ?a  embassy  ?b	0.15	0.882352941	0.882352941	15	17	17	-1
?a  commonbloc0  ?b   => ?a  embassy  ?b	0.14	0.518518519	0.518518519	14	27	27	-1
?a  relbooktranslations  ?b   => ?a  embassy  ?b	0.14	0.636363636	0.636363636	14	22	22	-1
?a  accusation  ?b   => ?a  embassy  ?b	0.12	0.631578947	0.631578947	12	19	19	-1
?a  timesincewar  ?b   => ?a  embassy  ?b	0.1	0.555555556	0.555555556	10	18	18	-1
?a  militaryalliance  ?b   => ?a  embassy  ?b	0.1	0.625	0.625	10	16	16	-1
?a  pprotests  ?b   => ?a  embassy  ?b	0.1	0.588235294	0.588235294	10	17	17	-1
?a  nonviolentbehavior  ?b   => ?a  embassy  ?b	0.09	0.642857143	0.642857143	9	14	14	-1
?a  negativecomm  ?b   => ?a  embassy  ?b	0.09	0.642857143	0.642857143	9	14	14	-1
?a  exportbooks  ?b   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?a  relexportbooks  ?b   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?a  boycottembargo  ?b   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?a  tourism3  ?b   => ?a  embassy  ?b	0.07	0.583333333	0.583333333	7	12	12	-1
?a  releconomicaid  ?b   => ?a  embassy  ?b	0.07	0.636363636	0.636363636	7	11	11	-1
?a  students  ?b   => ?a  embassy  ?b	0.07	0.583333333	0.583333333	7	12	12	-1
?a  economicaid  ?b   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?a  relstudents  ?b   => ?a  embassy  ?b	0.06	0.545454545	0.545454545	6	11	11	-1
?a  eemigrants  ?b   => ?a  embassy  ?b	0.05	0.555555556	0.555555556	5	9	9	-1
?a  violentactions  ?b   => ?a  embassy  ?b	0.03	0.5	0.5	3	6	6	-1
?a  emigrants3  ?b   => ?a  embassy  ?b	0.03	0.428571429	0.428571429	3	7	7	-1
?a  unoffialacts  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  dependent  ?b   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?a  warning  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?a  duration  ?b   => ?a  embassy  ?b	0.02	0.285714286	0.285714286	2	7	7	-1
?a  expeldiplomats  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  militaryactions  ?b   => ?a  embassy  ?b	0.02	0.333333333	0.333333333	2	6	6	-1
?a  relemigrants  ?b   => ?a  embassy  ?b	0.02	0.4	0.4	2	5	5	-1
?a  lostterritory  ?b   => ?a  embassy  ?b	0.01	0.5	0.5	1	2	2	-1
?a  aidenemy  ?b   => ?a  embassy  ?b	0.01	0.5	0.5	1	2	2	-1
?a  commonbloc1  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.23	0.851851852	0.851851852	23	27	27	-1
?a  intergovorgs  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.29	0.659090909	0.659090909	29	44	44	-1
?b  intergovorgs3  ?a  ?a  relngo  ?b   => ?a  embassy  ?b	0.16	0.666666667	0.666666667	16	24	24	-1
?b  intergovorgs3  ?a  ?a  reldiplomacy  ?b   => ?a  embassy  ?b	0.14	0.777777778	0.777777778	14	18	18	-1
?a  exports3  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.11	0.733333333	0.733333333	11	15	15	-1
?b  intergovorgs3  ?a  ?a  relexports  ?b   => ?a  embassy  ?b	0.11	0.647058824	0.647058824	11	17	17	-1
?b  intergovorgs3  ?a  ?a  negativebehavior  ?b   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  intergovorgs3  ?a  ?a  ngo  ?b   => ?a  embassy  ?b	0.29	0.630434783	0.630434783	29	46	46	-1
?b  intergovorgs3  ?a  ?a  ngoorgs3  ?b   => ?a  embassy  ?b	0.17	0.62962963	0.62962963	17	27	27	-1
?b  intergovorgs3  ?a  ?a  officialvisits  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?b  intergovorgs3  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.23	0.71875	0.71875	23	32	32	-1
?b  intergovorgs3  ?a  ?a  relexportbooks  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  commonbloc0  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?a  exportbooks  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.07	0.777777778	0.777777778	7	9	9	-1
?a  boycottembargo  ?b  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  intergovorgs3  ?a  ?a  releconomicaid  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  intergovorgs3  ?a  ?a  pprotests  ?b   => ?a  embassy  ?b	0.05	0.714285714	0.714285714	5	7	7	-1
?b  intergovorgs3  ?a  ?a  negativecomm  ?b   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  intergovorgs3  ?a  ?a  militaryactions  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  intergovorgs3  ?a  ?a  lostterritory  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  intergovorgs3  ?a  ?a  warning  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  intergovorgs3  ?a  ?b  ngoorgs3  ?a   => ?a  embassy  ?b	0.27	0.658536585	0.658536585	27	41	41	-1
?b  independence  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.22	0.647058824	0.647058824	22	34	34	-1
?b  intergovorgs3  ?a  ?b  timesinceally  ?a   => ?a  embassy  ?b	0.28	0.7	0.7	28	40	40	-1
?b  intergovorgs3  ?a  ?b  reldiplomacy  ?a   => ?a  embassy  ?b	0.2	0.666666667	0.666666667	20	30	30	-1
?b  intergovorgs3  ?a  ?b  weightedunvote  ?a   => ?a  embassy  ?b	0.24	0.774193548	0.774193548	24	31	31	-1
?b  booktranslations  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.15	0.75	0.75	15	20	20	-1
?b  intergovorgs3  ?a  ?b  relexports  ?a   => ?a  embassy  ?b	0.13	0.684210526	0.684210526	13	19	19	-1
?b  intergovorgs3  ?a  ?b  relbooktranslations  ?a   => ?a  embassy  ?b	0.13	0.928571429	0.928571429	13	14	14	-1
?b  commonbloc1  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.19	0.730769231	0.730769231	19	26	26	-1
?b  exports3  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.11	0.785714286	0.785714286	11	14	14	-1
?b  intergovorgs3  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.14	0.636363636	0.636363636	14	22	22	-1
?b  intergovorgs3  ?a  ?b  officialvisits  ?a   => ?a  embassy  ?b	0.1	0.833333333	0.833333333	10	12	12	-1
?b  intergovorgs3  ?a  ?b  negativebehavior  ?a   => ?a  embassy  ?b	0.1	0.769230769	0.769230769	10	13	13	-1
?b  intergovorgs3  ?a  ?b  relstudents  ?a   => ?a  embassy  ?b	0.07	0.875	0.875	7	8	8	-1
?b  intergovorgs3  ?a  ?b  timesincewar  ?a   => ?a  embassy  ?b	0.06	0.666666667	0.666666667	6	9	9	-1
?b  intergovorgs3  ?a  ?b  negativecomm  ?a   => ?a  embassy  ?b	0.06	0.857142857	0.857142857	6	7	7	-1
?b  intergovorgs3  ?a  ?b  students  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  accusation  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  boycottembargo  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  intergovorgs3  ?a  ?b  unoffialacts  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  eemigrants  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  intergovorgs3  ?a  ?b  severdiplomatic  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  aidenemy  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  duration  ?a  ?b  intergovorgs3  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  ngo  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.2	0.606060606	0.606060606	20	33	33	-1
?a  commonbloc1  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.23	0.71875	0.71875	23	32	32	-1
?b  relngo  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.21	0.807692308	0.807692308	21	26	26	-1
?a  independence  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.19	0.612903226	0.612903226	19	31	31	-1
?b  relngo  ?a  ?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.11	0.578947368	0.578947368	11	19	19	-1
?b  relngo  ?a  ?a  treaties  ?b   => ?a  embassy  ?b	0.13	0.619047619	0.619047619	13	21	21	-1
?a  ngoorgs3  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.12	0.631578947	0.631578947	12	19	19	-1
?b  relngo  ?a  ?a  reltourism  ?b   => ?a  embassy  ?b	0.1	0.909090909	0.909090909	10	11	11	-1
?a  negativebehavior  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?a  relexportbooks  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  exportbooks  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?a  relbooktranslations  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?a  booktranslations  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?b  relngo  ?a  ?a  timesincewar  ?b   => ?a  embassy  ?b	0.05	0.625	0.625	5	8	8	-1
?a  pprotests  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.05	0.625	0.625	5	8	8	-1
?a  releconomicaid  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?a  accusation  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?a  nonviolentbehavior  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?a  boycottembargo  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?a  eemigrants  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?b  relngo  ?a  ?a  warning  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?a  expeldiplomats  ?b  ?b  relngo  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  embassy  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.28	0.622222222	0.622222222	28	45	45	-1
?b  commonbloc1  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.22	0.666666667	0.666666667	22	33	33	-1
?b  reldiplomacy  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.23	0.676470588	0.676470588	23	34	34	-1
?b  relngo  ?a  ?b  weightedunvote  ?a   => ?a  embassy  ?b	0.2	0.769230769	0.769230769	20	26	26	-1
?b  relngo  ?a  ?b  reltreaties  ?a   => ?a  embassy  ?b	0.15	0.652173913	0.652173913	15	23	23	-1
?b  independence  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.17	0.62962963	0.62962963	17	27	27	-1
?b  relexports  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.12	0.631578947	0.631578947	12	19	19	-1
?b  negativebehavior  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.11	0.785714286	0.785714286	11	14	14	-1
?b  exports3  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.12	0.705882353	0.705882353	12	17	17	-1
?b  blockpositionindex  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.1	0.588235294	0.588235294	10	17	17	-1
?b  accusation  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.07	0.7	0.7	7	10	10	-1
?b  officialvisits  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.08	0.888888889	0.888888889	8	9	9	-1
?b  relngo  ?a  ?b  timesincewar  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?b  pprotests  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  relngo  ?a  ?b  students  ?a   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  relexportbooks  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  negativecomm  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  eemigrants  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.04	0.571428571	0.571428571	4	7	7	-1
?b  exportbooks  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  emigrants3  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.03	0.6	0.6	3	5	5	-1
?b  relemigrants  ?a  ?b  relngo  ?a   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  relngo  ?a  ?b  unoffialacts  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  relngo  ?a  ?b  severdiplomatic  ?a   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc1  ?a  ?a  weightedunvote  ?b   => ?a  embassy  ?b	0.21	0.807692308	0.807692308	21	26	26	-1
?b  commonbloc1  ?a  ?a  intergovorgs3  ?b   => ?a  embassy  ?b	0.2	0.740740741	0.740740741	20	27	27	-1
?b  commonbloc1  ?a  ?a  timesinceally  ?b   => ?a  embassy  ?b	0.18	0.75	0.75	18	24	24	-1
?b  commonbloc1  ?a  ?a  intergovorgs  ?b   => ?a  embassy  ?b	0.16	0.666666667	0.666666667	16	24	24	-1
?b  commonbloc1  ?a  ?a  ngo  ?b   => ?a  embassy  ?b	0.14	0.7	0.7	14	20	20	-1
?b  commonbloc1  ?a  ?a  ngoorgs3  ?b   => ?a  embassy  ?b	0.16	0.64	0.64	16	25	25	-1
?a  blockpositionindex  ?b  ?b  commonbloc1  ?a   => ?a  embassy  ?b	0.15	0.75	0.75	15	20	20	-1
?b  commonbloc1  ?a  ?a  conferences  ?b   => ?a  embassy  ?b	0.13	0.722222222	0.722222222	13	18	18	-1
?b  commonbloc1  ?a  ?a  unweightedunvote  ?b   => ?a  embassy  ?b	0.11	0.6875	0.6875	11	16	16	-1
?b  commonbloc1  ?a  ?a  negativebehavior  ?b   => ?a  embassy  ?b	0.09	0.75	0.75	9	12	12	-1
?b  commonbloc1  ?a  ?a  treaties  ?b   => ?a  embassy  ?b	0.11	0.611111111	0.611111111	11	18	18	-1
?b  commonbloc1  ?a  ?a  exports3  ?b   => ?a  embassy  ?b	0.1	0.714285714	0.714285714	10	14	14	-1
?b  commonbloc1  ?a  ?a  independence  ?b   => ?a  embassy  ?b	0.09	0.692307692	0.692307692	9	13	13	-1
?b  commonbloc1  ?a  ?a  relbooktranslations  ?b   => ?a  embassy  ?b	0.08	0.666666667	0.666666667	8	12	12	-1
?b  commonbloc1  ?a  ?a  officialvisits  ?b   => ?a  embassy  ?b	0.08	0.8	0.8	8	10	10	-1
?b  commonbloc1  ?a  ?a  relexports  ?b   => ?a  embassy  ?b	0.08	0.727272727	0.727272727	8	11	11	-1
?b  commonbloc1  ?a  ?a  releconomicaid  ?b   => ?a  embassy  ?b	0.06	0.75	0.75	6	8	8	-1
?b  commonbloc1  ?a  ?a  reltourism  ?b   => ?a  embassy  ?b	0.05	1	1	5	5	5	-1
?a  booktranslations  ?b  ?b  commonbloc1  ?a   => ?a  embassy  ?b	0.06	0.6	0.6	6	10	10	-1
?b  commonbloc1  ?a  ?a  tourism  ?b   => ?a  embassy  ?b	0.06	1	1	6	6	6	-1
?b  commonbloc1  ?a  ?a  economicaid  ?b   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  commonbloc1  ?a  ?a  militaryalliance  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?b  commonbloc1  ?a  ?a  timesincewar  ?b   => ?a  embassy  ?b	0.05	0.833333333	0.833333333	5	6	6	-1
?b  commonbloc1  ?a  ?a  negativecomm  ?b   => ?a  embassy  ?b	0.04	1	1	4	4	4	-1
?a  accusation  ?b  ?b  commonbloc1  ?a   => ?a  embassy  ?b	0.04	0.666666667	0.666666667	4	6	6	-1
?b  commonbloc1  ?a  ?a  exportbooks  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  commonbloc1  ?a  ?a  pprotests  ?b   => ?a  embassy  ?b	0.03	0.75	0.75	3	4	4	-1
?a  boycottembargo  ?b  ?b  commonbloc1  ?a   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  commonbloc1  ?a  ?a  relexportbooks  ?b   => ?a  embassy  ?b	0.03	1	1	3	3	3	-1
?b  commonbloc1  ?a  ?a  eemigrants  ?b   => ?a  embassy  ?b	0.02	1	1	2	2	2	-1
?b  commonbloc1  ?a  ?a  tourism3  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  commonbloc1  ?a  ?a  warning  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc1  ?a  ?a  violentactions  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc1  ?a  ?a  nonviolentbehavior  ?b   => ?a  embassy  ?b	0.02	0.666666667	0.666666667	2	3	3	-1
?b  commonbloc1  ?a  ?a  unoffialacts  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc1  ?a  ?a  militaryactions  ?b   => ?a  embassy  ?b	0.01	1	1	1	1	1	-1
?b  commonbloc1  ?a  ?b  embassy  ?a   => ?a  embassy  ?b	0.33	0.673469388	0.673469388	33	49	49	-1
?b  commonbloc1  ?a  ?b  weightedunvote  ?a   => ?a  embassy  ?b	0.2	0.8	0.8	20	25	25	-1
?b  commonbloc1  ?a  ?b  reldiplomacy  ?a   => ?a  embassy  ?b	0.18	0.666666667	0.666666667	18	27	27	-1
?b  commonbloc1  ?a  ?b  ngoorgs3  ?a   => ?a  embassy  ?b	0.17	0.68	0.68	17	25	25	-1
