Number of atoms removed: 727
Problematic atoms:
{('son', '432', '27')}
('mother', '134', '135')
('nephew', '80', '83')
('son', '2084', '2081')
('uncle', '259', '1034')
('uncle', '1287', '1270')
('niece', '258', '253')
('uncle', '1663', '405')
('uncle', '1373', '1281')
('nephew', '542', '523')
('sister', '1271', '1269')
('daughter', '1375', '1372')
('son', '992', '988')
('nephew', '231', '21')
('nephew', '703', '713')
('father', '2', '7')
('sister', '1158', '1159')
('father', '227', '104')
('sister', '746', '748')
('sister', '1807', '1805')
('son', '1107', '1104')
('sister', '559', '563')
('daughter', '47', '37')
('father', '1193', '1198')
('aunt', '1257', '1240')
('nephew', '697', '711')
('father', '2717', '2718')
('uncle', '9', '79')
('uncle', '732', '748')
('mother', '1595', '2079')
('nephew', '2415', '2118')
('sister', '1158', '1155')
('niece', '312', '4')
('uncle', '588', '890')
('mother', '605', '1664')
('niece', '528', '160')
('aunt', '5', '121')
('niece', '98', '3')
('niece', '1358', '492')
('son', '82', '79')
('nephew', '1237', '1256')
('uncle', '1287', '1279')
('son', '1141', '637')
('mother', '707', '693')
('uncle', '4', '76')
('father', '203', '222')
('father', '1792', '1795')
('aunt', '729', '768')
('nephew', '1562', '2669')
('uncle', '227', '258')
('niece', '437', '97')
('nephew', '1568', '94')
('sister', '1029', '418')
('uncle', '558', '412')
('brother', '202', '210')
('nephew', '222', '132')
('daughter', '749', '730')
('aunt', '5', '74')
('uncle', '150', '95')
('sister', '413', '43')
('son', '1278', '1261')
('nephew', '1562', '2672')
('uncle', '727', '767')
('aunt', '5', '123')
('niece', '39', '8')
('niece', '1117', '1109')
('uncle', '1073', '1079')
('uncle', '4', '99')
('nephew', '155', '151')
('uncle', '336', '1617')
('niece', '97', '151')
('nephew', '710', '745')
('nephew', '158', '94')
('nephew', '203', '336')
('son', '907', '895')
('niece', '1501', '1242')
('nephew', '73', '4')
('uncle', '336', '204')
('son', '83', '5')
('father', '1207', '1208')
('daughter', '77', '3')
('son', '6', '2')
('nephew', '710', '748')
('nephew', '310', '6')
('niece', '575', '327')
('nephew', '835', '829')
('nephew', '71', '227')
('father', '1792', '1807')
('mother', '94', '98')
('nephew', '26', '6')
('mother', '402', '421')
('nephew', '212', '336')
('uncle', '1027', '456')
('uncle', '4', '27')
('mother', '96', '438')
('daughter', '371', '373')
('sister', '749', '745')
('niece', '1233', '1256')
('niece', '528', '99')
('nephew', '152', '353')
('brother', '558', '560')
('nephew', '72', '11')
('uncle', '337', '132')
('nephew', '852', '829')
('uncle', '1285', '1279')
('father', '2024', '2031')
('father', '1913', '1911')
('aunt', '254', '1664')
('father', '203', '223')
('nephew', '416', '563')
('nephew', '697', '713')
('daughter', '1088', '1073')
('father', '1377', '1873')
('daughter', '2079', '1595')
('mother', '5', '83')
('uncle', '748', '716')
('niece', '1331', '1235')
('nephew', '50', '156')
('father', '4', '16')
('son', '2738', '597')
('son', '1869', '2452')
('son', '421', '21')
('father', '1329', '1465')
('nephew', '75', '8')
('son', '279', '136')
('nephew', '1562', '155')
('niece', '1272', '1286')
('nephew', '18', '5')
('mother', '598', '2829')
('nephew', '222', '210')
('father', '1335', '2090')
('niece', '343', '771')
('nephew', '553', '1163')
('nephew', '21', '10')
('niece', '94', '347')
('son', '722', '719')
('uncle', '560', '411')
('sister', '1184', '1183')
('nephew', '50', '153')
('uncle', '4', '84')
('aunt', '1072', '1086')
('mother', '1465', '1490')
('nephew', '290', '334')
('niece', '1151', '1074')
('uncle', '604', '552')
('nephew', '1617', '336')
('son', '13', '4')
('son', '420', '21')
('father', '1792', '1796')
('daughter', '545', '540')
('son', '2083', '1335')
('daughter', '2119', '728')
('uncle', '259', '1035')
('sister', '224', '486')
('niece', '745', '896')
('niece', '17', '3')
('father', '637', '1140')
('son', '4', '2')
('uncle', '180', '53')
('mother', '3', '76')
('daughter', '1682', '559')
('father', '35', '106')
('father', '227', '466')
('mother', '707', '710')
('aunt', '253', '552')
('son', '1377', '1372')
('aunt', '829', '846')
('daughter', '85', '5')
('niece', '2128', '748')
('niece', '1029', '563')
('niece', '2829', '456')
('uncle', '177', '53')
('nephew', '1393', '1389')
('sister', '209', '141')
('mother', '1372', '1379')
('nephew', '1568', '151')
('niece', '1232', '1256')
('aunt', '524', '545')
('niece', '745', '727')
('mother', '556', '560')
('nephew', '216', '336')
('father', '902', '903')
('uncle', '75', '233')
('uncle', '1287', '1274')
('niece', '99', '150')
('niece', '470', '259')
('aunt', '8', '74')
('uncle', '492', '97')
('son', '107', '35')
('sister', '204', '209')
('sister', '1807', '1806')
('mother', '3', '78')
('uncle', '708', '703')
('mother', '1372', '1364')
('mother', '1595', '1334')
('nephew', '28', '3')
('niece', '749', '729')
('mother', '426', '470')
('aunt', '3', '98')
('uncle', '336', '1653')
('mother', '830', '1426')
('mother', '690', '1184')
('aunt', '1387', '2957')
('niece', '511', '563')
('sister', '204', '202')
('son', '293', '244')
('uncle', '1286', '1497')
('niece', '214', '334')
('son', '10', '2')
('aunt', '41', '163')
('niece', '696', '2858')
('uncle', '151', '153')
('son', '1334', '1595')
('mother', '1', '6')
('daughter', '1369', '1364')
('niece', '575', '328')
('father', '130', '210')
('daughter', '1110', '1104')
('aunt', '829', '845')
('mother', '559', '653')
('son', '334', '323')
('mother', '426', '1031')
('uncle', '212', '222')
('aunt', '491', '37')
('daughter', '1427', '839')
('uncle', '1073', '1081')
('son', '1488', '1487')
('niece', '702', '710')
('niece', '47', '84')
('father', '2', '5')
('uncle', '1663', '552')
('uncle', '492', '1357')
('daughter', '332', '2143')
('mother', '1', '10')
('sister', '1206', '1204')
('uncle', '132', '222')
('aunt', '41', '14')
('nephew', '698', '713')
('father', '132', '135')
('sister', '413', '1029')
('uncle', '4', '311')
('daughter', '599', '598')
('niece', '1116', '1108')
('uncle', '1287', '2234')
('son', '425', '21')
('daughter', '30', '136')
('niece', '99', '492')
('uncle', '1286', '1280')
('nephew', '1562', '37')
('son', '562', '556')
('daughter', '257', '254')
('uncle', '1287', '1271')
('uncle', '1286', '1273')
('son', '50', '39')
('niece', '1264', '1287')
('son', '1696', '2448')
('uncle', '2394', '2406')
('father', '227', '467')
('father', '1364', '1370')
('niece', '1355', '94')
('uncle', '227', '155')
('nephew', '75', '6')
('nephew', '26', '4')
('nephew', '768', '727')
('nephew', '259', '227')
('nephew', '697', '1625')
('son', '691', '690')
('uncle', '155', '50')
('son', '560', '556')
('mother', '1956', '1911')
('nephew', '18', '227')
('father', '902', '905')
('uncle', '708', '697')
('nephew', '86', '4')
('uncle', '1296', '1690')
('nephew', '222', '141')
('nephew', '652', '563')
('uncle', '563', '653')
('aunt', '12', '1664')
('sister', '746', '747')
('uncle', '334', '290')
('son', '2670', '2668')
('father', '1335', '2083')
('sister', '2474', '2472')
('father', '604', '598')
('son', '2574', '2563')
('son', '262', '134')
('niece', '1263', '1286')
('niece', '76', '4')
('daughter', '1379', '1372')
('sister', '747', '743')
('mother', '998', '1001')
('nephew', '1047', '1041')
('niece', '1029', '559')
('nephew', '311', '3')
('nephew', '222', '212')
('nephew', '411', '561')
('nephew', '313', '3')
('niece', '156', '94')
('father', '21', '422')
('niece', '96', '150')
('son', '652', '559')
('uncle', '1286', '1496')
('uncle', '748', '708')
('nephew', '1281', '1379')
('daughter', '1106', '1104')
('daughter', '38', '5')
('sister', '1204', '1206')
('uncle', '1287', '1266')
('uncle', '336', '218')
('son', '1562', '154')
('nephew', '212', '334')
('uncle', '151', '1355')
('nephew', '438', '99')
('nephew', '286', '1286')
('uncle', '1285', '1271')
('son', '907', '902')
('niece', '17', '5')
('son', '563', '556')
('daughter', '1378', '1372')
('daughter', '739', '740')
('sister', '43', '412')
('father', '1073', '1087')
('aunt', '2856', '697')
('nephew', '570', '1169')
('niece', '1682', '563')
('nephew', '1357', '492')
('uncle', '150', '154')
('father', '1073', '1088')
('aunt', '1072', '1085')
('daughter', '214', '131')
('aunt', '829', '852')
('niece', '85', '8')
('uncle', '1287', '1264')
('uncle', '1568', '50')
('uncle', '28', '591')
('mother', '728', '2114')
('uncle', '75', '81')
('niece', '1431', '829')
('uncle', '560', '511')
('son', '1642', '1617')
('sister', '1271', '1274')
('son', '1266', '1262')
('uncle', '1285', '1276')
('nephew', '1617', '334')
('uncle', '1166', '571')
('sister', '2654', '412')
('sister', '747', '742')
('niece', '2829', '2770')
('mother', '690', '1185')
('nephew', '141', '334')
('uncle', '748', '693')
('nephew', '28', '5')
('sister', '43', '413')
('son', '558', '556')
('sister', '746', '749')
('nephew', '1034', '259')
('nephew', '1080', '1073')
('uncle', '1698', '1117')
('son', '717', '706')
('uncle', '1287', '1269')
('uncle', '86', '46')
('nephew', '698', '711')
('son', '162', '556')
('aunt', '428', '72')
('nephew', '160', '94')
('nephew', '405', '2671')
('nephew', '1497', '1286')
('nephew', '767', '733')
('nephew', '572', '1161')
('sister', '215', '202')
('uncle', '1241', '1329')
('niece', '2119', '731')
('uncle', '563', '43')
('mother', '402', '426')
('nephew', '75', '9')
('son', '349', '2912')
('nephew', '703', '714')
('son', '903', '902')
('son', '1266', '1261')
('niece', '257', '227')
('niece', '1239', '1256')
('nephew', '216', '334')
('nephew', '2415', '736')
('uncle', '1256', '1238')
('nephew', '703', '1625')
('uncle', '1285', '1273')
('nephew', '155', '227')
('nephew', '141', '336')
('nephew', '1397', '1389')
('mother', '614', '616')
('daughter', '2408', '2403')
('daughter', '1151', '1138')
('uncle', '334', '203')
('nephew', '26', '7')
('mother', '715', '717')
('niece', '413', '563')
('nephew', '703', '2858')
('uncle', '563', '2654')
('sister', '214', '202')
('niece', '221', '202')
('mother', '66', '67')
('sister', '2032', '2030')
('nephew', '1279', '1287')
('uncle', '40', '1358')
('daughter', '391', '395')
('nephew', '742', '728')
('aunt', '85', '48')
('uncle', '336', '141')
('nephew', '411', '563')
('son', '1794', '1792')
('aunt', '3', '95')
('father', '1344', '2280')
('nephew', '405', '2677')
('mother', '1366', '1368')
('son', '21', '3')
('nephew', '2415', '2114')
('uncle', '40', '98')
('uncle', '1377', '1281')
('daughter', '79', '5')
('nephew', '259', '12')
('son', '1209', '1207')
('daughter', '96', '94')
('aunt', '3', '86')
('father', '1487', '1489')
('sister', '413', '416')
('son', '73', '3')
('nephew', '697', '2856')
('sister', '1807', '1809')
('niece', '749', '2913')
('uncle', '1286', '1265')
('nephew', '2957', '1387')
('father', '1476', '1492')
('father', '20', '21')
('son', '2085', '1335')
('uncle', '560', '416')
('uncle', '560', '652')
('daughter', '1199', '1158')
('niece', '1116', '1697')
('uncle', '336', '212')
('nephew', '73', '5')
('aunt', '3', '310')
('uncle', '1286', '1263')
('mother', '559', '652')
('nephew', '703', '709')
('uncle', '588', '535')
('uncle', '1286', '1276')
('son', '336', '323')
('nephew', '767', '734')
('nephew', '767', '729')
('mother', '2339', '2394')
('niece', '118', '4')
('aunt', '745', '2128')
('nephew', '313', '5')
('father', '130', '133')
('uncle', '562', '412')
('aunt', '729', '749')
('uncle', '86', '102')
('uncle', '4', '98')
('daughter', '39', '5')
('niece', '221', '204')
('nephew', '542', '520')
('father', '522', '542')
('father', '293', '941')
('niece', '1077', '1073')
('father', '839', '1427')
('uncle', '150', '1357')
('uncle', '353', '152')
('father', '1261', '1280')
('daughter', '1199', '1193')
('nephew', '743', '728')
('son', '943', '293')
('uncle', '1286', '1275')
('father', '2553', '2563')
('aunt', '1042', '1048')
('father', '1617', '1659')
('son', '421', '402')
('father', '2', '6')
('daughter', '467', '227')
('daughter', '1158', '626')
('father', '21', '420')
('son', '606', '604')
('son', '432', '409')
('daughter', '426', '21')
('sister', '1159', '1158')
('uncle', '75', '423')
('nephew', '1568', '227')
('uncle', '9', '21')
('uncle', '748', '719')
('niece', '1359', '151')
('aunt', '5', '27')
('aunt', '41', '606')
('nephew', '160', '151')
('niece', '528', '96')
('father', '2', '10')
('uncle', '563', '652')
('sister', '2474', '2471')
('son', '1658', '1617')
('nephew', '541', '521')
('niece', '43', '563')
('uncle', '9', '83')
('nephew', '697', '708')
('sister', '209', '217')
('son', '422', '21')
('mother', '136', '279')
('nephew', '553', '1160')
('mother', '707', '711')
('son', '606', '605')
('nephew', '552', '41')
('niece', '413', '559')
('father', '1344', '2281')
('aunt', '5', '14')
('mother', '739', '744')
('father', '597', '451')
('aunt', '1257', '1242')
('father', '1249', '725')
('son', '1373', '1372')
('uncle', '213', '222')
('nephew', '83', '3')
('nephew', '411', '559')
('uncle', '357', '152')
('mother', '2614', '205')
('father', '552', '1033')
('uncle', '259', '1031')
('nephew', '768', '729')
('son', '2563', '2558')
('niece', '749', '731')
('father', '1792', '1799')
('son', '1208', '1207')
('nephew', '1518', '1389')
('niece', '39', '3')
('uncle', '563', '414')
('mother', '501', '508')
('uncle', '75', '422')
('nephew', '591', '2634')
('uncle', '216', '222')
('nephew', '1394', '1387')
('niece', '747', '728')
('niece', '1035', '259')
('nephew', '153', '227')
('niece', '713', '745')
('sister', '557', '559')
('sister', '2378', '2376')
('father', '1792', '1810')
('uncle', '334', '202')
('nephew', '1519', '1387')
('nephew', '703', '2856')
('nephew', '697', '2857')
('uncle', '712', '698')
('niece', '1355', '150')
('nephew', '425', '75')
('nephew', '552', '12')
('father', '737', '2862')
('sister', '1268', '1266')
('son', '942', '293')
('nephew', '159', '492')
('nephew', '286', '1285')
('father', '637', '1156')
('nephew', '222', '216')
('father', '244', '315')
('niece', '16', '227')
('son', '1696', '2614')
('uncle', '711', '696')
('sister', '2837', '2835')
('uncle', '180', '52')
('uncle', '492', '95')
('nephew', '230', '21')
('uncle', '529', '748')
('nephew', '722', '718')
('mother', '2614', '2974')
('mother', '895', '905')
('sister', '1268', '1273')
('niece', '1860', '1387')
('nephew', '104', '41')
('nephew', '1266', '1285')
('mother', '728', '2117')
('son', '1210', '1207')
('uncle', '748', '712')
('aunt', '3', '312')
('uncle', '151', '1568')
('uncle', '334', '218')
('uncle', '150', '153')
('uncle', '151', '1359')
('son', '717', '715')
('niece', '48', '153')
('nephew', '1281', '1374')
('niece', '1331', '1232')
('niece', '1116', '1099')
('niece', '1079', '1073')
('mother', '2558', '2560')
Total number of unique groundings with original dataset:22852
Number of groundings per level with original dataset:
Level 0. Number of groundings: 20068
Level 1. Number of groundings: 2934
Total number of unique groundings with new dataset:13431
Number of groundings per level with new dataset:
Level 0. Number of groundings: 11856
Level 1. Number of groundings: 1591
